author,average word length (# chars),average sentence length (# words),type-token ratio,lexical density,percent nouns,percent prepositions,percent pronouns
"Alcott, Louisa May",0.021125639801749807,0.04770482433889595,0.032139675491882624,0.11696457598078147,0.051217453552437786,0.00909584019665019,0.017290521589459304
"Austen, Jane",0.00504494946309203,0.050834819143617344,0.05879049798988317,0.2549187063479827,0.06142770343651231,0.0028536983757037546,0.023110946477094677
"Balzac, Honoré de",0.005260863976228186,0.04849889289163729,0.04719616384022848,0.16121103215741328,0.029657805376704677,0.008418436322078435,0.04061856199354876
"Zola, Émile",0.003722469025019326,0.04378807046666695,0.04908335787666537,0.17492213017035363,0.05827786747599345,0.007926460025155471,0.028951161841238096
Voltaire,0.005451898977363603,0.04826043000456567,0.01106355342120744,0.2366617622617277,0.055864437855489654,0.018070620191625975,0.040891191286646277
"Twain, Mark",0.01061026591572764,0.04298329254572266,0.08102245696687113,0.15970038550037768,0.07405484456261925,0.007005305489753824,0.035640089931202906
"Barrie, J. M",0.016188826657664884,0.03795654993134681,0.02422109828135803,0.15280675016872225,0.06068558343974645,0.010557865025533686,0.04172771697721868
"Hardy, Thomas",0.009470305983252714,0.040249967436683395,0.03905704513795681,0.2012083773880251,0.144452023472952,0.006046505213787454,0.027230326631741027
"Stevenson, Robert Louis",0.01284893263390302,0.04759136045109129,0.03145679854525235,0.18790287227656,0.08400519394408124,0.008785894679242082,0.049508764581065574
"Chekhov, Anton Pavlovich",0.01694828829439396,0.03247993054893912,0.030167230320903432,0.09146512654814287,0.02865104495222437,0.014168231475560636,0.059885845883053485
"Baum, L. Frank",0.01524746436726708,0.03436312311758177,0.01662510720592006,0.057863191770727906,0.06208570220176251,0.019045682721248076,0.023770941060422823
"Bierce, Ambrose",0.005320346461786446,0.04016565226902575,0.08512545325296017,0.15258570598187227,0.023402530646673664,0.013246512997051443,0.06002441463718714
"Poe, Edgar Allan",0.004584329724736741,0.050173531175124866,0.0372704996095303,0.16543890708631248,0.15772401617648066,0.01659313644111539,0.0635769460025783
"Blake, William",0.012723669355079958,0.043906283816358145,0.16267444487439228,0.21709603523111598,0.03464970662506195,0.018613912455725842,0.05284486655696127
"Brontë, Charlotte",0.006407106339231222,0.054130214208604796,0.04634286783212738,0.18013080697520023,0.026456775561711887,0.013186987727163438,0.19217331293060902
"Townsend, F. H",0.008031807455343348,0.03016140610928096,0.02412067762221702,0.08770411383906085,0.10388042397864652,0.015579394529057378,0.05606077689248459
"Buckley, Theodore Alois",0.00629574624653767,0.009632154170130199,0.07143332028774345,0.0451428358130016,0.015661429973794674,0.008407482760450703,0.09351300302561392
"Pope, Alexander",0.0031253818710830494,0.04356418173315432,0.04085211306794992,0.11258826513356501,0.1566626349274909,0.008526918888075177,0.050969835327998286
Homer,0.012873925167334543,0.042066670544344764,0.04088060247874599,0.1395573922144142,0.1270943322529138,0.0075153954114918625,0.04751372787684832
"Burnett, Frances Hodgson",0.02143373243770666,0.030997458523959808,0.04958755790052893,0.1391263545474028,0.06207308811867863,0.017916351391494716,0.05442563747822992
"Burroughs, Edgar Rice",0.0082467563343607,0.041339692633628196,0.025046168078641726,0.1781599419337384,0.04371229180216882,0.015163591411154156,0.026938704393308338
"Burton, Richard Francis, Sir",0.014483965511840849,0.05074147655808764,0.03734558241182154,0.09181507192414268,0.030267394607735698,0.010597361375664381,0.022716641302437425
"Byron, George Gordon Byron, Baron",0.006373590868856194,0.037654269198620346,0.017002215943129118,0.11467777063015416,0.02546713969151379,0.009474576645803909,0.045141085483885776
"Carroll, Lewis",0.02255256589245555,0.03782905433480903,0.042109639005097566,0.09267678454514644,0.04716033103324131,0.02026562526074581,0.05002073606870343
"Doré, Gustave",0.015409643146788582,0.057878048787191355,0.09566623638676996,0.21910839933953763,0.052394771494554654,0.008479879141658292,0.04590168192605429
Dante Alighieri,0.01088130541182196,0.04846060698292179,0.02688558802380469,0.13382628730543178,0.039482022580977036,0.012576919086292604,0.03416986708935153
"Cary, Henry Francis",0.007358928100216516,0.05208376383598017,0.0007070978069799172,0.2630747305674379,0.0394569523693461,0.03359850971530133,0.042066485249458524
"Cervantes Saavedra, Miguel de",0.00785931602003924,0.056864140148586165,0.06449653768634167,0.23837761712117572,0.04991772029342853,0.004260584590589471,0.06010084494105228
"Tolstoy, Leo, graf",0.011167031672871225,0.04782510416135607,0.036949436089269996,0.19589386928113706,0.13525999433956715,0.014901461124725124,0.04960333416185632
"Garnett, Constance",0.011951743557220479,0.029531996189837595,0.021169926962236227,0.1445157463012975,0.04689221672051952,0.006496121326071941,0.024530195296553578
"Dostoyevsky, Fyodor",0.014813829964604786,0.035208631938578865,0.04259193904097957,0.20044341616819877,0.10016659834568889,0.005682773176010479,0.05998901968929246
"Chesterton, G. K",0.006160207702053888,0.04626834641397222,0.020526432348591903,0.20183936423404858,0.0417706858785422,0.013695709599719524,0.03171516231221275
"Hugo, Victor",0.0034742882665494412,0.03531004800594596,0.027984535631081504,0.1475077780362653,0.0639109341809524,0.005401765915375126,0.02905877617547285
"Christie, Agatha",0.02284110531915534,0.023981604765121706,0.025297126710295097,0.021691823598981474,0.03538328495931432,0.021319318595313816,0.06978117637123533
"Collins, Wilkie",0.013945584154480939,0.03455545963636353,0.056673416557842096,0.18222958931741717,0.03130180591268761,0.0066253841511466904,0.049586064681070394
"Dickens, Charles",0.011305482279383633,0.047818903884571475,0.0554240877951068,0.17603260569648682,0.13280290461364236,0.00621421823062436,0.06576565537108424
"Conrad, Joseph",0.010603611957177517,0.03136920778533482,0.03908336558577277,0.14028479682933737,0.07489915682785381,0.012827909365901627,0.045379523687556544
"Russell, Bertrand",0.014023461973354523,0.049872519414947566,0.03136178535916585,0.21888574588161674,0.06367642993775335,0.02628689847523283,0.042146695118383155
"Morley, Henry",0.007597043964665928,0.0573853611620757,0.03594251230618997,0.21365866575537873,0.07108971288255045,0.015418277642245418,0.02140956182567591
"Darwin, Charles",0.015215476664331012,0.044688942442797364,0.05294498815644392,0.09967207310687576,0.07624186410336295,0.03340308316490399,0.04506530771538725
"Defoe, Daniel",0.0065458960419451095,0.06677722821821913,0.06502150957915118,0.3474752181415892,0.1562379229919922,0.01782698098445422,0.060491159705888226
"Dick, Philip K",0.018906280906325734,0.025392942296498133,0.08123028045044628,0.13632021453655796,0.10021608944432416,0.03154325372450252,0.07267482054846658
"Kipling, Rudyard",0.016618782768461682,0.038777637451317876,0.03206710164445625,0.10199517917852224,0.1320800483579667,0.010285863287842,0.0533541377126361
"Leech, John",0.007952501733109754,0.041912300362268354,0.08439556440480905,0.17518016501719616,0.13295605459355667,0.01743012564792787,0.057910619200705046
"Scott, Walter",0.003885787779692826,0.056287889990187565,0.037861688308986535,0.17969790683205866,0.09271031369364854,0.009845637030402143,0.04062433373037688
"Douglass, Frederick",0.0019268609643527945,0.04886534849695773,0.1270378173918588,0.20994202728754363,0.14215995457006964,0.014651326261419115,0.0603841829470982
"Doyle, Arthur Conan",0.01612948040517187,0.03632512795563113,0.03208064492667348,0.17869970781371536,0.09938623896895135,0.008329090832505132,0.05567051679205946
"Haggard, H. Rider",0.020997868685920393,0.049467388288725975,0.05218389961390617,0.23699935149599083,0.07155361887704986,0.007592175853474978,0.04558835281459606
"Du Bois, W. E. B",0.009946608908207616,0.049744429505584366,0.03128656141806278,0.135826349422287,0.09081509870815384,0.021121676093487377,0.0484896798644774
"Dumas, Alexandre",0.011070358001288888,0.051085434386848184,0.04317924003585848,0.133720920806444,0.13240127104218935,0.008914014910992439,0.05778759378428101
"Lang, Andrew",0.00852722257860647,0.046114463511310974,0.04340674368689568,0.14000789141905717,0.12191658210953074,0.013799184849190772,0.04666475136029756
"Eliot, George",0.005720604048553041,0.04773285860381126,0.05506562720663599,0.1930799582699929,0.13577897306761072,0.009920057737294055,0.05416727074980831
"Forster, E. M",0.019897531802688856,0.02576555114631079,0.02499336602881399,0.06797542944497914,0.08668138865946103,0.02055170624301804,0.025451181749858855
"Franklin, Benjamin",0.0017259020905770472,0.05269384115023304,0.03125009518332801,0.23147460910925943,0.1139332873037547,0.016412485463282292,0.040601841678521225
"Whitman, Walt",0.005366317353727057,0.053101409293264595,0.03169100319453785,0.07574854097259753,0.16947706179491492,0.006520983081343468,0.05807318600374199
"Gilman, Charlotte Perkins",0.013887027144970171,0.03917964426140097,0.010346448424891075,0.16271061806326176,0.12367560539814171,0.011707385516759282,0.05860474493920882
"Goethe, Johann Wolfgang von",0.00340907720520639,0.03742400965235256,0.055213538483980903,0.2059523163344339,0.1532539906045114,0.016663861251026993,0.039421147195123823
"Grimm, Wilhelm",0.030049654851782986,0.046176685760950596,0.07010118379174554,0.26029123813126376,0.1567823783653688,0.023431655362760456,0.09993886501861662
"Hapgood, Isabel Florence",0.008718764624084954,0.04060069746273682,0.021186412461394306,0.11390905313186667,0.07361781786970817,0.006741832049732825,0.0345032596948804
"James, Henry",0.01444241728367883,0.04877355745937644,0.04300237931721407,0.24947918283111653,0.11983278502715994,0.007918774873432219,0.044747061783761304
"Hawthorne, Nathaniel",0.004280212510678505,0.0519164210068588,0.16912936976839169,0.1964995386280992,0.1560428775970657,0.019641053198377986,0.06324105261940285
"Hazlitt, William Carew",0.011949218831445535,0.05487684515421633,0.024937265501662864,0.1186838395413149,0.07997288647544586,0.020577791753414024,0.04366059549927499
"Hesse, Hermann",0.010523771923049874,0.04299295268896255,0.030774837420431647,0.24063840023375216,0.09014870581319931,0.005882477694510599,0.10634770248594863
"Ibsen, Henrik",0.01627193101492741,0.051689407107559635,0.016432567018544467,0.0833620363433687,0.08162381894642913,0.017072338287947054,0.04898751731188225
"Irving, Washington",0.007839156739337508,0.0537895236651334,0.03545753352046902,0.1855428663974431,0.14152070594134208,0.02608477750819499,0.0532826028240484
Plato,0.006128437761450778,0.04737264959029999,0.03136380223582168,0.4411393219418843,0.10042561683313153,0.016108344528707505,0.05731666586478745
"Jowett, Benjamin",0.004341072624196196,0.044738197904100864,0.057852834050999086,0.4005682355754471,0.08285946646172634,0.006559060519020651,0.02366146574720178
"Joyce, James",0.012677205271035913,0.035375006126760776,0.010085649408312386,0.09508704618026864,0.3765491869297198,0.009702253295435434,0.045024643919912705
"Wyllie, David",0.017004485416496823,0.04979620089564419,0.03707120809428474,0.3018677889815696,0.1485454094204769,0.007150828058191179,0.3236755956819693
"Kemble, E. W",0.027967944005528794,0.03897013411511972,0.007782573812399704,0.06188880448324563,0.026969996303892158,0.01995732934188306,0.05831560316242121
"London, Jack",0.011723908543807365,0.026541660115831624,0.019016571741150762,0.11583361315763185,0.08403460171096955,0.006474561229473479,0.030995702808533414
"Machiavelli, Niccolò",0.006061969686381813,0.06547278703855193,0.064483657002068,0.3321863892854806,0.05395280128700264,0.02742581342964777,0.02333383112050537
"Marriott, W. K",0.003580695311680565,0.06293259390175687,0.013918569254204677,0.40641801842461645,0.3498012232239452,0.016694473562557197,0.03636805972523255
"Madison, James",0.014171315774477652,0.04477930538061442,0.06853023360981655,0.262616560124016,0.1269832303850948,0.03147518669603466,0.06389676591501409
"Maude, Aylmer",0.00418182011271484,0.04366095775086035,0.03218609780137534,0.12726257027967336,0.1691246179116568,0.0070802636667613855,0.05186386236699832
"Maupassant, Guy de",0.011629706168478166,0.04095835864822553,0.029075725273236402,0.14752236105564498,0.06278057443961069,0.003545200180579147,0.04500505996160826
"Melville, Herman",0.00490695347593359,0.04618247103368449,0.02294094729520299,0.15079498013754444,0.13839557549894133,0.01608202116007268,0.03964675141008838
"Mill, John Stuart",0.01397060687457019,0.06056403091532759,0.04518465142486681,0.34987072356082927,0.16567139218245117,0.036426197203910965,0.05463861706631457
"Montaigne, Michel de",0.003366194705933162,0.058620658570858505,0.06470269356780775,0.2988809503863198,0.051153756676769524,0.011072932638898927,0.025750775627651615
"Montgomery, L. M",0.02266762068589459,0.022912727463765215,0.03623510868787869,0.09122415087653157,0.05643371729849797,0.019337228786417013,0.023535405261316117
"Nietzsche, Friedrich Wilhelm",0.010973523406126173,0.05421443157027148,0.016641500686045446,0.2318455796918022,0.08590995830438687,0.017829754859736882,0.03539379976037155
"Zimmern, Helen",0.01368755427432819,0.05114595593119804,0.005850517021125934,0.17921665217042815,0.08075885673116619,0.021777958688071433,0.02111619547150926
"Ogden, C. K",0.008428812194009067,0.036366956198142154,0.04680626184802722,0.1393918450835827,0.055159146081421445,0.022976490127501706,0.06752148250546561
"Potter, Beatrix",0.005763069558617481,0.022977021250772292,0.2642078097086596,0.04818771968725499,0.12950041708576415,0.023098321985759653,0.05059989691687196
"Shakespeare, William",0.011400304651523613,0.018766053078111508,0.04797388794730373,0.13492763910179584,0.05109356439029622,0.026514637880453926,0.022208536581792247
"Shaw, Bernard",0.00868075077440486,0.03435659481692644,0.038401247283084125,0.1124657751922773,0.1404760947529498,0.013147663104797105,0.04566232374392549
"Shelley, Mary Wollstonecraft",0.0039709809078055935,0.05071517808959773,0.04960948087607124,0.194835387826374,0.14244720664275518,0.010188115263041989,0.10190478554274177
"Stoker, Bram",0.014592063288063672,0.038674722480683654,0.04781874497668604,0.2474403184489719,0.05615566640869901,0.013271981332882182,0.05547653444997558
"Swift, Jonathan",0.004749335725207485,0.0581486029689226,0.034968948339688104,0.20496042613983778,0.14149404063238408,0.020295986724674545,0.055205889030605
"Thoreau, Henry David",0.004720473824659899,0.04912758497024451,0.02101318267043402,0.2265501201541319,0.15108886925495046,0.013669054209374282,0.05345686438481853
"Verne, Jules",0.0044530879540669865,0.0333709381271442,0.0295831362864412,0.1121876982910317,0.06474611126211913,0.006215676784110433,0.035516617892083366
"Wells, H. G",0.00909971188407549,0.03644532313780211,0.01730281767504141,0.11011686343760796,0.08467414776779067,0.010344170727489416,0.04526105997334462
"Wharton, Edith",0.011734884886727581,0.047018436488157136,0.03915339422730285,0.16808117787216126,0.120108766277257,0.00510488002513939,0.05895923592508492
"Wilde, Oscar",0.007287754644592248,0.04620822238464908,0.03283396347871215,0.16241266444180502,0.11209227856424177,0.015981882909058776,0.05990083850615221
"Wodehouse, P. G",0.017252285614086316,0.007291698742190142,0.018255514375023388,0.039614110678061754,0.06840905987378046,0.010653759126219922,0.0400274325592673
