,author,average word length (# chars),average sentence length (# words),type-token ratio,lexical density,percent nouns,percent prepositions,percent pronouns,sum of squares
0,"Alcott, Louisa May",0.684928225250713,0.6793774209068976,0.11928839758365124,0.22713868304898913,0.09852377337085871,0.18593021189420258,0.0,1.0407790345327592
1,"Austen, Jane",0.11718247226973988,0.7319951723548811,0.2204297656872213,0.5560335528770652,0.12681581067962644,0.0,0.01899709019727885,0.9237543969584102
2,"Balzac, Honoré de",0.12480556215322053,0.6927263573580948,0.17642861644561736,0.33262615490526387,0.03878318156583896,0.1657528673945251,0.07613961115170312,0.67198883875918
3,"Zola, Émile",0.07049090391640854,0.6135336113833169,0.183590623799666,0.3653146274008881,0.11808778957110336,0.15109872146870523,0.038058773869179975,0.5867767739158994
4,Voltaire,0.13155025459373185,0.6887176028059864,0.0393033306797738,0.5125073805709195,0.11140030967192087,0.45325556175571713,0.07702943678666602,0.9796301402298505
5,"Twain, Mark",0.3136718463846782,0.6000046417661162,0.3048012985629404,0.32902463942834803,0.16180491984923753,0.1236609504491795,0.059890542631992345,0.7046163821620349
6,"Barrie, J. M",0.5106288241188578,0.5155010211603437,0.08923695235841306,0.31258960200676394,0.12475943724367056,0.22947849932924808,0.07975974502067552,0.7067455075488533
7,"Hardy, Thomas",0.2734243572159304,0.5540552296466408,0.1455402038734774,0.42798336978585794,0.35687160624539116,0.09510185269263129,0.03244219736135219,0.7235439942738976
8,"Stevenson, Robert Louis",0.39271033881360534,0.6774700009208254,0.11669684122047498,0.3962618667037542,0.18937678725031762,0.17669808654678293,0.10515604615216431,0.861972207494043
9,"Chekhov, Anton Pavlovich",0.5374424191651075,0.42343460718289705,0.11180285738626775,0.1663457362955136,0.035993504152084896,0.33701790140061144,0.1390254548781738,0.6425166786913096
10,"Baum, L. Frank",0.4773930344149187,0.4550926017444403,0.06040973963242895,0.08623574658246252,0.12863908883901978,0.48229905162555287,0.02115122445229437,0.6957070907735723
11,"Bierce, Ambrose",0.1269056541170132,0.5526378232891563,0.32037239989499294,0.3120626130803232,0.02145016150776321,0.3095633326112672,0.1394777248020403,0.6372787599156974
12,"Poe, Edgar Allan",0.10091980601083282,0.7208783852250137,0.1387601632597992,0.34270578333457175,0.3936475634445974,0.4092468104837023,0.15107271315424214,1.0118164111254717
13,"Blake, William",0.388287786481676,0.6155208736760537,0.6146751782888823,0.4658609537644435,0.052615463631774835,0.4694382196770096,0.11604463785584632,1.3610923411903597
14,"Brontë, Charlotte",0.16527485916576204,0.7873934363362989,0.17319031017333872,0.37773257440361035,0.029913305120061576,0.30779029599005525,0.570794095825783,1.2414165559196888
15,"Townsend, F. H",0.22263664769038943,0.38445833076608443,0.08885585031729795,0.15737914876324668,0.24444994961584676,0.3790512055260433,0.12654094008286768,0.4494870473863054
16,"Buckley, Theodore Alois",0.16134317350135113,0.03934495411834901,0.26840998633488966,0.05590929092834564,0.0,0.16542660149207375,0.24878000882360213,0.19200686789795707
17,"Pope, Alexander",0.04941011144620711,0.6097698601738255,0.15235258747972324,0.21670517023867122,0.3907065347492976,0.16898415996383473,0.1099247861152983,0.6377237844264525
18,Homer,0.3935927265975347,0.5845954824385984,0.15246070639367404,0.2810019587220815,0.3087744045934158,0.13885463395627273,0.09864451255306064,0.7232264624777837
19,"Burnett, Frances Hodgson",0.6958057610968398,0.39851304999012277,0.18550409120635636,0.2799743267330619,0.12860413591296244,0.448660467392302,0.1212040632160757,0.9882813633865951
20,"Burroughs, Edgar Rice",0.23022564484163416,0.5723743940979538,0.0923681385754414,0.3730338575218836,0.07772738555882894,0.3666659755784331,0.031490381287098405,0.6697795546695968
21,"Burton, Richard Francis, Sir",0.450436901099422,0.7304260077807082,0.13904510671118256,0.16718003707781012,0.040472319585296526,0.23065494884921972,0.017710130720466354,0.8388516240235624
22,"Byron, George Gordon Byron, Baron",0.16409156009315704,0.5104194368592697,0.06184088846875456,0.22168673647722095,0.02717107889840851,0.197211363502599,0.09090052437090088,0.38831684098802843
23,"Carroll, Lewis",0.7353073576607427,0.5133577167691613,0.1571249690344906,0.16923443631587473,0.0872817114250112,0.5186366071271632,0.10682705277399236,1.145555652531743
24,"Doré, Gustave",0.483118927480319,0.8503975755210536,0.3603752638635081,0.47065860809870896,0.10178605622591455,0.16758302069631728,0.09338300966957719,1.3551346472866024
25,Dante Alighieri,0.32324118200130425,0.6920827401783751,0.09934884057008841,0.26733849683084576,0.06600554368512852,0.2896186179153133,0.05509193145223411,0.7560742415562889
26,"Cary, Henry Francis",0.19887993152358077,0.7529909456692317,0.0,0.5754782372575347,0.06593607551629287,0.9157736961112394,0.08086543945844556,1.7872520408222459
27,"Cervantes Saavedra, Miguel de",0.21654665542282656,0.833352948911253,0.24208450678935386,0.5165981305842746,0.09492228444817413,0.041905912993991,0.13972718311554178,1.09713815971463
28,"Tolstoy, Leo, graf",0.3333290493633091,0.6813994222830236,0.13754170916932185,0.4153131115821879,0.33140100227999403,0.3588580883022917,0.1054647086451753,1.0165446868721546
29,"Garnett, Constance",0.3610341310650548,0.37387743949744406,0.07765758584702279,0.292823114186048,0.0865387815041313,0.10849424610919535,0.02362932896955784,0.3817243677308412
30,"Dostoyevsky, Fyodor",0.46208311392810286,0.469306290828906,0.15895532475687651,0.42615963446058264,0.23415914434086701,0.08426762674959927,0.13936220041496133,0.722001388802176
31,"Chesterton, G. K",0.15655784206499485,0.655229061842487,0.07521548764925992,0.4294876983335696,0.07234730300905226,0.32294323039506484,0.047080102597942035,0.755695532368533
32,"Hugo, Victor",0.06172862016953834,0.47101117718127455,0.10351940845715685,0.29995638294265836,0.1336967056298626,0.07589746455007737,0.03841001269683338,0.3514626144698668
33,"Christie, Agatha",0.7454945468066314,0.28057085765130707,0.0933205406765295,0.0,0.05464816859367234,0.5500222165201318,0.1713224932293111,0.9780531064764431
34,"Collins, Wilkie",0.4314287787683548,0.4583259346318826,0.21239532275626247,0.38273625746408524,0.043338616058408115,0.11234450538647452,0.10540834336420636,0.6134027117952704
35,"Dickens, Charles",0.33821719422460866,0.6812951906011474,0.2076540499387474,0.3679620994457096,0.3245925426452027,0.10009740031913075,0.15821636848728585,0.8974825458387091
36,"Conrad, Joseph",0.3134369213517483,0.40476245660463095,0.1456400914511086,0.28273615577367167,0.16414446240495154,0.2970946857794708,0.09167875485218983,0.4868397709104999
37,"Russell, Bertrand",0.4341783373995913,0.7158181333817716,0.11633626084328817,0.47012778252745024,0.13304690735136993,0.6979879638819372,0.08112723376798303,1.4469309915750737
38,"Morley, Henry",0.20728686355892714,0.8421150969173421,0.13372037686318466,0.457665960375957,0.15358870407877312,0.3742521321047766,0.013443997715674956,1.1432998402156282
39,"Darwin, Charles",0.4762636747850083,0.6286780000113686,0.1982457275825334,0.1859118240446498,0.1678650299488184,0.9099526652908243,0.09065319584576637,1.560338213708995
40,"Defoe, Daniel",0.17017497617652708,1.0,0.24407680460525272,0.7766964776990428,0.3895296814831155,0.4459984550262338,0.14100111842714938,2.062319737572924
41,"Dick, Philip K",0.6065714158923197,0.30429658630847833,0.30559000035457995,0.2732842403171673,0.2342962814359371,0.8545552565391451,0.18076696171656367,1.4464309477606796
42,"Kipling, Rudyard",0.5258088786272311,0.5293041683661183,0.11901297575688422,0.1914503147516496,0.32258954796959244,0.2213765781978024,0.11770683095446006,0.7743816947971244
43,"Leech, John",0.2198366754232181,0.5820003944661759,0.31760243072533295,0.3659298053382031,0.3250169127629538,0.4341776090845276,0.13257857854714197,0.9335518187593119
44,"Scott, Walter",0.07625704500831892,0.8236657163443679,0.1410037575756917,0.37670050210647704,0.21349819226276434,0.20826387366864227,0.07615844933057073,0.9407811057115915
45,"Douglass, Frederick",0.00709506524329621,0.6988867733205705,0.47943217562166135,0.448805164966476,0.3505204101776279,0.3514075001114642,0.140651960560674,1.1859091120903928
46,"Doyle, Arthur Conan",0.5085335420072903,0.48807549448039544,0.11906437327349617,0.3743207072041666,0.2319968116994945,0.1630915972272227,0.12526718318860303,0.7472296253924653
47,"Haggard, H. Rider",0.6804171310850974,0.7090075505427158,0.1953573538204855,0.5133122232165351,0.1548741619131215,0.141141638041849,0.0923603452581783,1.3197505145895387
48,"Du Bois, W. E. B",0.29024073493856317,0.7136648381099389,0.11605078176218749,0.27210682212723397,0.2082466564348915,0.5441351807401087,0.10182988961661303,1.0308861832226737
49,"Dumas, Alexandre",0.32991588330451105,0.7362082178709646,0.16118416501556262,0.2670872937615605,0.323479638248443,0.1805143122142841,0.1321770400035676,0.90285825083762
50,"Lang, Andrew",0.24012780175602144,0.6526421654322725,0.16204755414796881,0.28207598874114875,0.2944271455257844,0.3260253736099843,0.09587356648440712,0.7916010595163718
51,"Eliot, George",0.14103717087403045,0.6798486996390909,0.20629367187417288,0.4086044984130524,0.33283906361081095,0.21048059001355093,0.12036078868912012,0.8611710936394654
52,"Forster, E. M",0.6415685755102644,0.310560443301847,0.09216775183095535,0.11034421716388525,0.1967923746837994,0.5271578966426124,0.026635305863286003,0.8460608930099757
53,"Franklin, Benjamin",0.0,0.7632468401636855,0.11591239035340685,0.5001407478625092,0.27230587748079765,0.40386588907068793,0.07608503827449276,1.0891692692444366
54,"Whitman, Walt",0.12852870500042496,0.7700983912320137,0.1175856610175649,0.12887600376012756,0.42621460234215036,0.10923478542379168,0.1331091749005004,0.8513157502482912
55,"Gilman, Charlotte Perkins",0.429361361713685,0.5360622289167113,0.03658187694577426,0.3362013005713433,0.2993013016995717,0.2637184436690415,0.13484411233843294,0.7633950617931403
56,"Goethe, Johann Wolfgang von",0.059426274788513526,0.5065485871199129,0.20685500347846889,0.43929334055729063,0.38126136999299975,0.41135343978983474,0.07223140902413018,0.8156798458959603
57,"Grimm, Wilhelm",1.0,0.6536881719180129,0.26335445351911885,0.5688421446662788,0.3910383371880612,0.6129408803424351,0.26975316494759294,2.421619453787405
58,"Hapgood, Isabel Florence",0.24689039593248352,0.5599512858664102,0.07772014924216165,0.21985404585127988,0.16059394307186667,0.11581305561807947,0.0561800804311501,0.4712358130627621
59,"James, Henry",0.4489699970308721,0.6973436915258916,0.16051296865571976,0.5430652468593731,0.2886530591451669,0.15086980935338798,0.0896144835894054,1.1226596013951498
60,"Hawthorne, Nathaniel",0.09018262663272532,0.7501777769776964,0.6391719807734537,0.41675708096895253,0.38898922148920584,0.5000329260141247,0.14997640197077367,1.576965351442323
61,"Hazlitt, William Carew",0.36094499295555965,0.799944908134367,0.09195484717978286,0.23123755970775012,0.17820348643610395,0.5279348870754504,0.08606840260715017,1.1499991444259403
62,"Hesse, Hermann",0.3106180846389453,0.6001670366094499,0.11410876045249906,0.5219880378349032,0.2064001186066883,0.09021608234481789,0.2906707552914258,0.8774058256482637
63,"Ibsen, Henrik",0.5135629112069342,0.7463614891964697,0.05967903880818438,0.14702725129611133,0.18277812893688822,0.42352045300533203,0.103454764617066,1.069461243473156
64,"Irving, Washington",0.21583491073024666,0.7816661519618916,0.13187985513472,0.39063540358634263,0.3487490876087506,0.6919675312632003,0.11747335062321487,1.441819975075333
65,Plato,0.155436170764198,0.6737932939516215,0.11634391500346584,1.0,0.23487687023333692,0.3948066606786907,0.13063999411160168,1.7197999642626929
66,"Jowett, Benjamin",0.09233135720634653,0.6295060242676435,0.2168712783794756,0.9032749354168994,0.1862020398107839,0.11036897081380473,0.020793911637545483,1.3150265705605577
67,"Joyce, James",0.3866473229302611,0.4721031758805715,0.035592130031253576,0.17498071360837103,1.0,0.20399300495254183,0.09052047464322417,1.454069713259918
68,"Wyllie, David",0.5394265179028934,0.7145351571693108,0.13800384076713007,0.6679643256652379,0.36821415214401754,0.1279955270674409,1.0,2.4187273762641173
69,"Kemble, E. W",0.9265030003684599,0.5325401934212437,0.026851828802875753,0.09583316396704954,0.03133541139074605,0.509453617191254,0.13390039216001362,1.430366094423774
70,"London, Jack",0.35299017533171806,0.3236074645918497,0.06948548184948615,0.22444236747286178,0.18945827454469513,0.10785205093901196,0.04473188277747487,0.3340539075469828
71,"Machiavelli, Niccolò",0.1530894451862229,0.9780712857201203,0.24203562386914956,0.7402465550829593,0.10610327054648311,0.7319120086854785,0.019724555933235008,2.133948174296987
72,"Marriott, W. K",0.06548543325953486,0.9353685787059937,0.05013827610513011,0.9172213360326618,0.9258828730256945,0.4122652668089331,0.06226653890461051,2.754110412650509
73,"Madison, James",0.43939847197602494,0.6301970742906599,0.25739260935334235,0.5743859183255302,0.30846654746698915,0.8525277926671181,0.15211656267394566,1.8314842049555675
74,"Maude, Aylmer",0.08670877912412718,0.6113967435277854,0.11946457285527645,0.25169001388199164,0.42523799984881294,0.1258936760318395,0.11284277107800601,0.66835410279378
75,"Maupassant, Guy de",0.34966426099672837,0.5659638604982429,0.10766053443089633,0.2999911501529464,0.13056454135009804,0.020597269461944265,0.0904565552164621,0.5698194030013748
76,"Melville, Herman",0.11231037822479226,0.6537854270451815,0.08437870747202844,0.3077933640052843,0.3400895241235242,0.39402258533269047,0.07296775107875794,0.8181445017422998
77,"Mill, John Stuart",0.4323122323241111,0.8955511137310245,0.16879481386176617,0.7824075748654438,0.4156693024833676,1.0,0.12189920017310754,2.8171993499452403
78,"Montaigne, Michel de",0.05791226286944458,0.8628814483252183,0.24286687993733613,0.6608434378138387,0.09834727285389593,0.24482044977508405,0.02761314030473239,1.3139883189499573
79,"Montgomery, L. M",0.7393694886364314,0.2626021632348403,0.13483079656405397,0.16577122894342944,0.11297775149984593,0.4909831256547395,0.020382467032226365,0.9155304278836064
80,"Nietzsche, Friedrich Wilhelm",0.32649703566877875,0.7888091984957433,0.060471953810170925,0.5010251746000826,0.19465478386724985,0.44608107846444905,0.05908668437760168,1.2238733984298091
81,"Zimmern, Helen",0.4223187613801871,0.7372256341213191,0.01951956477470614,0.3755531483529517,0.18038136651258524,0.5636834007859952,0.012486489080387873,1.213708278582252
82,"Ogden, C. K",0.23665331921032595,0.4887786611644524,0.17494891648812066,0.28060727969434734,0.10944598520268062,0.5993831991704774,0.16394715396886322,0.8023742543201198
83,"Potter, Beatrix",0.14253646054875901,0.26368299394397915,1.0,0.06316856386782603,0.3154415324925321,0.6030121175563674,0.10871735650332373,1.5687820692882744
84,"Shakespeare, William",0.3415649982016952,0.1928932033889891,0.17938012310934676,0.26996421709551566,0.09818048335961932,0.7047714745877222,0.01605174471014863,0.7655322402024297
85,"Shaw, Bernard",0.24554827682840202,0.45498285571523234,0.14305141418429665,0.21641314336576908,0.345854527823172,0.3066189616021219,0.09260177650135658,0.5568073420107255
86,"Shelley, Mary Wollstonecraft",0.07926487835692285,0.7299839091943536,0.1855872901297448,0.41278959801029924,0.3513163697721249,0.2184650277260846,0.27616966721993125,0.9914171682084055
87,"Stoker, Bram",0.4542534072359564,0.5275740842340487,0.178791346822945,0.5382044135245708,0.11220728787385785,0.3103219397069457,0.12463405070766072,0.9307347370882484
88,"Swift, Jonathan",0.10674551709727995,0.8549458107660683,0.13002564693446578,0.4369285864497688,0.34867519951350756,0.519540962328249,0.12375070017182863,1.3569516453703
89,"Thoreau, Henry David",0.10572651722141897,0.7032951811400294,0.07706273245679478,0.4884003298731718,0.3752619385691584,0.3221492653559524,0.11804211710534944,1.008811368331264
90,"Verne, Jules",0.09628617671120443,0.43841316728067903,0.10958618772246745,0.21575018339498803,0.1360109350961416,0.10014084520816137,0.05948754637153398,0.29210033876328995
91,"Wells, H. G",0.26034014121172866,0.4900960729846083,0.06298168892330687,0.21081312962400378,0.1912304212703576,0.22311334018104886,0.09129210509595478,0.4510629036814103
92,"Wharton, Edith",0.3533777067091014,0.6678386843976192,0.14590585407855916,0.34900519099891,0.289417787914092,0.06705433697250497,0.136001123615585,0.8207326992681161
93,"Wilde, Oscar",0.19636707751640445,0.6542183281421613,0.12192325948523344,0.3354909527384587,0.2672045441603166,0.39103983890305105,0.1390743887994594,0.8376332202315104
94,"Wodehouse, P. G",0.548175365546024,0.0,0.06659722640366654,0.04272832034971066,0.14616076296106603,0.23233482828995286,0.07421024355430189,0.3876067326303574
